IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.116.171.235,443,443,true,FRA,Europe,Frankfurt,190,9.41
34.159.97.220,443,443,true,FRA,Europe,Frankfurt,175,9.41
34.116.200.216,443,443,true,FRA,Europe,Frankfurt,192,9.40
34.118.51.1,443,443,true,FRA,Europe,Frankfurt,277,9.40
34.116.203.237,443,443,true,FRA,Europe,Frankfurt,276,9.38
34.118.90.82,443,443,true,FRA,Europe,Frankfurt,185,9.38
34.154.120.66,443,443,true,FRA,Europe,Frankfurt,178,9.37
34.116.239.87,443,443,true,FRA,Europe,Frankfurt,190,9.37
34.118.15.93,443,443,true,FRA,Europe,Frankfurt,205,9.37
34.118.62.126,443,443,true,FRA,Europe,Frankfurt,183,9.36
34.154.180.236,443,443,true,FRA,Europe,Frankfurt,177,9.36
34.116.140.46,443,443,true,FRA,Europe,Frankfurt,253,9.35
34.88.63.160,443,443,true,FRA,Europe,Frankfurt,219,9.34
34.116.221.87,443,443,true,FRA,Europe,Frankfurt,276,9.33
34.154.121.70,443,443,true,FRA,Europe,Frankfurt,181,9.32
34.116.140.46,443,443,true,FRA,Europe,Frankfurt,195,9.32
34.159.69.238,443,443,true,FRA,Europe,Frankfurt,168,9.32
34.141.45.127,443,443,true,FRA,Europe,Frankfurt,172,9.32
34.116.224.156,443,443,true,FRA,Europe,Frankfurt,193,9.27
34.141.54.241,443,443,true,FRA,Europe,Frankfurt,173,9.25
34.116.155.234,443,443,true,FRA,Europe,Frankfurt,231,9.24
34.118.49.212,443,443,true,FRA,Europe,Frankfurt,189,9.22
34.116.157.9,443,443,true,FRA,Europe,Frankfurt,287,9.22
34.118.60.19,443,443,true,FRA,Europe,Frankfurt,190,9.19
34.116.189.111,443,443,true,FRA,Europe,Frankfurt,279,9.19
34.141.26.28,443,443,true,FRA,Europe,Frankfurt,177,9.17
34.154.139.33,443,443,true,FRA,Europe,Frankfurt,183,9.13
34.116.159.95,443,443,true,FRA,Europe,Frankfurt,294,9.12
34.66.72.229,443,443,true,ORD,North America,Chicago,206,9.11
34.116.206.219,443,443,true,FRA,Europe,Frankfurt,270,9.11
34.118.31.219,443,443,true,FRA,Europe,Frankfurt,183,9.11
34.72.146.82,443,443,true,ORD,North America,Chicago,206,9.09
34.116.145.227,443,443,true,FRA,Europe,Frankfurt,281,9.08
34.116.141.181,443,443,true,FRA,Europe,Frankfurt,188,9.04
