IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度MB/s
8.219.51.211,2087,true,SIN,亚太,新加坡,3 ms,44.86
8.222.222.64,8443,true,SIN,亚太,新加坡,4 ms,44.51
47.236.170.54,2087,true,SIN,亚太,新加坡,4 ms,44.45
47.245.118.70,8443,true,SIN,亚太,新加坡,4 ms,44.37
8.222.164.209,443,true,SIN,亚太,新加坡,2 ms,44.33
8.219.110.81,2083,true,SIN,亚太,新加坡,8 ms,44.21
8.219.123.11,8443,true,SIN,亚太,新加坡,4 ms,44.14
8.219.126.240,2083,true,SIN,亚太,新加坡,6 ms,44.11
47.236.75.152,8443,true,SIN,亚太,新加坡,5 ms,44.10
47.236.99.59,2083,true,SIN,亚太,新加坡,5 ms,44.07
8.219.50.180,443,true,SIN,亚太,新加坡,2 ms,44.02
8.222.150.197,2096,true,SIN,亚太,新加坡,3 ms,44.00
8.219.126.240,443,true,SIN,亚太,新加坡,2 ms,43.98
8.219.198.34,2087,true,SIN,亚太,新加坡,4 ms,43.96
47.236.120.9,8443,true,SIN,亚太,新加坡,5 ms,43.96
8.219.199.220,443,true,SIN,亚太,新加坡,2 ms,43.93
8.219.229.190,2083,true,SIN,亚太,新加坡,4 ms,43.90
8.219.5.10,2053,true,SIN,亚太,新加坡,3 ms,43.89
47.236.169.15,2083,true,SIN,亚太,新加坡,4 ms,43.84
8.222.162.45,2096,true,SIN,亚太,新加坡,4 ms,43.83
8.219.50.180,8443,true,SIN,亚太,新加坡,3 ms,43.81
8.219.248.47,2053,true,SIN,亚太,新加坡,3 ms,43.80
8.219.83.201,2083,true,SIN,亚太,新加坡,3 ms,43.79
8.219.177.205,2053,true,SIN,亚太,新加坡,2 ms,43.75
8.219.191.110,2096,true,SIN,亚太,新加坡,2 ms,43.72
47.237.92.26,2083,true,SIN,亚太,新加坡,4 ms,43.70
47.236.144.196,2083,true,SIN,亚太,新加坡,4 ms,43.70
8.219.50.180,2053,true,SIN,亚太,新加坡,4 ms,43.69
8.219.202.130,2083,true,SIN,亚太,新加坡,4 ms,43.65
8.219.77.222,2087,true,SIN,亚太,新加坡,5 ms,43.64
8.219.100.168,2087,true,SIN,亚太,新加坡,4 ms,43.56
8.219.122.55,2083,true,SIN,亚太,新加坡,5 ms,43.50
8.219.110.248,443,true,SIN,亚太,新加坡,7 ms,43.47
47.236.158.158,2083,true,SIN,亚太,新加坡,3 ms,43.46
47.236.232.148,2053,true,SIN,亚太,新加坡,4 ms,43.45
8.219.11.158,2087,true,SIN,亚太,新加坡,2 ms,43.44
8.219.6.150,8443,true,SIN,亚太,新加坡,4 ms,43.42
8.222.144.50,2053,true,SIN,亚太,新加坡,4 ms,43.40
47.245.84.124,8443,true,SIN,亚太,新加坡,4 ms,43.40
47.236.145.85,2083,true,SIN,亚太,新加坡,4 ms,43.39
47.236.125.62,2083,true,SIN,亚太,新加坡,5 ms,43.37
47.245.105.224,2087,true,SIN,亚太,新加坡,5 ms,43.36
8.219.239.79,8443,true,SIN,亚太,新加坡,4 ms,43.32
8.219.122.55,2053,true,SIN,亚太,新加坡,5 ms,43.30
47.237.125.8,2087,true,SIN,亚太,新加坡,4 ms,43.29
47.245.114.163,2087,true,SIN,亚太,新加坡,4 ms,43.24
